row#,Name,FIPS,Source,ToxPi Score,Temperature-related deaths,Disaster-related deaths,Air pollution-related illnesses,Air pollution-related deaths
1,"AL, Autauga",01001,"+32.5363818,-086.6444901",0.803898647957174,0.758115849777212,0.858899676375405,0.970719287078294,0.627859778597786
2,"AL, Baldwin",01003,"+30.6592183,-087.7460666",0.715826527818404,0.834818586887333,0.858899676375405,0.822724379376193,0.346863468634686
3,"AL, Barbour",01005,"+31.8706701,-085.4054562",0.762206926934299,0.716740929344367,0.858899676375405,0.981858688733291,0.491328413284133
4,"AL, Bibb",01007,"+33.0158929,-087.1271475",0.815542904676635,0.7017823042648,0.858899676375405,0.976766390833864,0.724723247232472
5,"AL, Blount",01009,"+33.9774479,-086.5672464",0.759742400379422,0.681413112667091,0.858899676375405,0.898472310630172,0.600184501845019
6,"AL, Bullock",01011,"+32.1017589,-085.7172613",0.785446202691156,0.75493316359007,0.858899676375405,0.993634627625716,0.534317343173432
7,"AL, Butler",01013,"+31.7516670,-086.6819689",0.778070738500486,0.794080203691916,0.858899676375405,0.953214513049013,0.506088560885609
8,"AL, Calhoun",01015,"+33.7717061,-085.8225133",0.811230218090189,0.790897517504774,0.858899676375405,0.906747294716741,0.688376383763838
9,"AL, Chambers",01017,"+32.9179433,-085.3918121",0.803087973157237,0.746021642266073,0.858899676375405,0.97422024188415,0.633210332103321
10,"AL, Cherokee",01019,"+34.0695153,-085.6542417",0.791310595596702,0.655951623169956,0.858899676375405,0.893380012730745,0.757011070110701
11,"AL, Chilton",01021,"+32.8540595,-086.7266275",0.899754402981943,0.789624443029917,0.858899676375405,0.994589433481859,0.955904059040591
12,"AL, Choctaw",01023,"+31.9910082,-088.2488874",0.767107881975039,0.862189688096754,0.858899676375405,0.890515595162317,0.456826568265683
13,"AL, Clarke",01025,"+31.6855211,-087.8186244",0.775282540981337,0.828453214513049,0.858899676375405,0.956397199236155,0.457380073800738
14,"AL, Clay",01027,"+33.2678085,-085.8620510",0.851055076396061,0.767345639719924,0.858899676375405,0.988860598345003,0.789114391143912
15,"AL, Cleburne",01029,"+33.6719810,-085.5161090",0.825726384773689,0.78071292170592,0.858899676375405,0.954805856142584,0.708487084870849
16,"AL, Coffee",01031,"+31.4021833,-085.9892014",0.702850035068117,0.64035646085296,0.858899676375405,0.909929980903883,0.402214022140221
17,"AL, Colbert",01033,"+34.7031120,-087.8014569",0.767934499566486,0.856460852959898,0.858899676375405,0.817632081476766,0.538745387453875
18,"AL, Conecuh",01035,"+31.4282925,-086.9920291",0.758570062032868,0.851368555060471,0.858899676375405,0.902609802673456,0.42140221402214
19,"AL, Coosa",01037,"+32.9314453,-086.2434818",0.833685155481702,0.721196690006365,0.858899676375405,0.937301082113304,0.817343173431734
20,"AL, Covington",01039,"+31.2439873,-086.4487206",0.722415539682425,0.796944621260344,0.858899676375405,0.856142584341184,0.377675276752768
21,"AL, Crenshaw",01041,"+31.7328256,-086.3192219",0.756053655344295,0.705283259070656,0.858899676375405,0.93475493316359,0.525276752767528
22,"AL, Cullman",01043,"+34.1319229,-086.8692666",0.765031883891698,0.73138128580522,0.858899676375405,0.868555060471038,0.601291512915129
