ToxPi Score,FIPS,Name,Source,Temperature-related deaths!1!0x88cceeff,Disaster-related deaths!1!0x44aa99ff,Infectious Diseases!1!0x117733ff,Air pollution-related illnesses!1!0x332288ff,Air pollution-related deaths!1!0xddcc77ff
0.652951422191864,01001,"AL, Autauga","+32.5363818,-086.6444901",0.758115849777212,0.858899676375405,0.0491625191306206,0.970719287078294,0.627859778597786
0.624318426832759,01003,"AL, Baldwin","+30.6592183,-087.7460666",0.834818586887333,0.858899676375405,0.258286022890175,0.822724379376193,0.346863468634686
0.665171399062866,01005,"AL, Barbour","+31.8706701,-085.4054562",0.716740929344367,0.858899676375405,0.277029287577138,0.981858688733291,0.491328413284133
0.666958255495067,01007,"AL, Bibb","+33.0158929,-087.1271475",0.7017823042648,0.858899676375405,0.0726196587687947,0.976766390833864,0.724723247232472
0.656600352887268,01009,"AL, Blount","+33.9774479,-086.5672464",0.681413112667091,0.858899676375405,0.244032162918653,0.898472310630172,0.600184501845019
0.704131238857263,01011,"AL, Bullock","+32.1017589,-085.7172613",0.75493316359007,0.858899676375405,0.378871383521691,0.993634627625716,0.534317343173432
0.673124618438456,01013,"AL, Butler","+31.7516670,-086.6819689",0.794080203691916,0.858899676375405,0.253340138190338,0.953214513049013,0.506088560885609
0.712785218805452,01015,"AL, Calhoun","+33.7717061,-085.8225133",0.790897517504774,0.858899676375405,0.319005221666502,0.906747294716741,0.688376383763838
0.697876236041217,01017,"AL, Chambers","+32.9179433,-085.3918121",0.746021642266073,0.858899676375405,0.277029287577138,0.97422024188415,0.633210332103321
0.708297502835034,01019,"AL, Cherokee","+34.0695153,-085.6542417",0.655951623169956,0.858899676375405,0.376245131788362,0.893380012730745,0.757011070110701
0.775209379900982,01021,"AL, Chilton","+32.8540595,-086.7266275",0.789624443029917,0.858899676375405,0.277029287577138,0.994589433481859,0.955904059040591
0.650929598120313,01023,"AL, Choctaw","+31.9910082,-088.2488874",0.862189688096754,0.858899676375405,0.186216462701405,0.890515595162317,0.456826568265683
0.671814681394567,01025,"AL, Clarke","+31.6855211,-087.8186244",0.828453214513049,0.858899676375405,0.257943243047488,0.956397199236155,0.457380073800738
0.785731641441693,01027,"AL, Clay","+33.2678085,-085.8620510",0.767345639719924,0.858899676375405,0.524437901624222,0.988860598345003,0.789114391143912
0.739040058548164,01029,"AL, Cleburne","+33.6719810,-085.5161090",0.78071292170592,0.858899676375405,0.39229475364606,0.954805856142584,0.708487084870849
0.617685885569921,01031,"AL, Coffee","+31.4021833,-085.9892014",0.64035646085296,0.858899676375405,0.277029287577138,0.909929980903883,0.402214022140221
0.619376104550281,01033,"AL, Colbert","+34.7031120,-087.8014569",0.856460852959898,0.858899676375405,0.0251425244854613,0.817632081476766,0.538745387453875
0.661902640421164,01035,"AL, Conecuh","+31.4282925,-086.9920291",0.851368555060471,0.858899676375405,0.275232953974347,0.902609802673456,0.42140221402214
0.748333456631147,01037,"AL, Coosa","+32.9314453,-086.2434818",0.721196690006365,0.858899676375405,0.406926661228927,0.937301082113304,0.817343173431734
