ToxPi Score,FIPS,Name,Source,Socioeconomic Stressors!1!0x88cceeff,Housing Composition & Disability!1!0x44aa99ff,Minority Status & Language!1!0x117733ff,Housing Type & Transportation!1!0x332288ff
0.599034260392594,01,AL,"+32.7396323,-086.8434593",0.935828877005348,0.851417270929466,0.193877551020408,0.415013342615153
0.472919090468793,02,AK,"+63.3461910,-152.8370679",0.336898395721925,0.581542518127884,0.336734693877551,0.636500754147813
0.607309773677015,04,AZ,"+34.2099643,-111.6024010",0.641711229946524,0.549637442320369,0.724489795918367,0.513400626522799
0.647459360290647,05,AR,"+34.8955256,-092.4446262",0.807486631016043,1,0.183673469387755,0.598677340758789
0.656152044485483,06,CA,"+37.1485730,-119.5406515",0.60427807486631,0.304021094264997,0.826530612244898,0.889778396565727
0.252159632703013,08,CO,"+38.9935752,-105.5077737",0.101604278074866,0.14278180619644,0.581632653061225,0.182619793479522
0.36788744268465,09,CT,"+41.5797842,-072.7466666",0.171122994652406,0.249571522742254,0.535714285714286,0.515140967629655
0.422930756056633,10,DE,"+38.9935501,-075.4473739",0.390374331550802,0.514040870138431,0.438775510204082,0.348532312333217
0.526362817854415,11,DC,"+38.9041485,-077.0170942",0.518716577540107,0,0.586734693877551,1
0.578281431007794,12,FL,"+28.4574302,-082.4091478",0.60427807486631,0.535266974291365,0.581632653061225,0.591948021812275
0.605922308315611,13,GA,"+32.6293840,-083.4232125",0.802139037433155,0.646802900461437,0.530612244897959,0.444135050469892
0.42547009949516,15,HI,"+19.8097670,-155.5061027",0.0641711229946524,0.29676994067238,0.688775510204082,0.652163824109525
0.446965151842412,16,ID,"+44.3020948,-114.5956254",0.53475935828877,0.609096901779829,0.26530612244898,0.378698224852071
0.487948204697972,17,IL,"+40.1028754,-089.1526108",0.470588235294118,0.376137112722479,0.48469387755102,0.620373593224272
0.564157721559538,18,IN,"+39.9030256,-086.2839503",0.572192513368984,0.73197099538563,0.336734693877551,0.615732683605987
0.377226453181291,19,IA,"+42.0700243,-093.4933473",0.229946524064171,0.697033618984838,0.076530612244898,0.505395057431256
0.503576846805086,20,KS,"+38.4985464,-098.3834298",0.374331550802139,0.675016479894529,0.403061224489796,0.561898132033879
0.601186306050559,21,KY,"+37.5336807,-085.2929841",0.866310160427808,0.778378378378378,0.214285714285714,0.545770971110338
0.700738368839887,22,LA,"+30.8577705,-091.8032730",0.935828877005348,0.789584706657877,0.336734693877551,0.740805197818773
0.369189125639849,23,ME,"+45.3906022,-068.6574869",0.374331550802139,0.626499670402109,0,0.475925281355146
0.362427000041502,24,MD,"+38.9466584,-076.6744939",0.203208556149733,0.324060646011866,0.5,0.422438798004409
0.403999314117639,25,MA,"+42.1565196,-071.4895915",0.0962566844919786,0.124719841793013,0.663265306122449,0.731755424063116
0.5704734108598,26,MI,"+44.8410835,-085.6593197",0.582887700534759,0.65062623599209,0.403061224489796,0.645318482422555
0.362932173413317,27,MN,"+46.3161343,-094.1994801",0.053475935828877,0.358075148319051,0.341836734693878,0.698340874811463
0.719516140777788,28,MS,"+32.6864655,-089.6561493",1,0.880553724456164,0.290816326530612,0.706694512124376
0.518371522433476,29,MO,"+38.3507500,-092.4567826",0.577540106951872,0.759525379037574,0.158163265306122,0.578257338438334
0.32377367284544,30,MT,"+47.0511771,-109.6348174",0.267379679144385,0.483981542518128,0.112244897959184,0.431488571760065
0.387570487142633,31,NE,"+41.5438105,-099.8123253",0.213903743315508,0.558998022412657,0.352040816326531,0.425339366515837
0.57115371478872,32,NV,"+39.3310928,-116.6151469",0.647058823529412,0.517732366512854,0.647959183673469,0.471864485439146
0.150450716282893,33,NH,"+43.6708595,-071.5811278",0,0.380092287409361,0.0153061224489796,0.206404455273234
0.469051716831448,34,NJ,"+40.1072744,-074.6652012",0.224598930481283,0.104680290046144,0.806122448979592,0.740805197818772
0.692527590667578,35,NM,"+34.4391265,-106.1261511",0.86096256684492,0.823467369808833,0.704081632653061,0.381598793363499
0.631671779850789,36,NY,"+42.9133974,-075.5962723",0.470588235294118,0.234541858932103,1,0.821557025176935
0.600424939152531,37,NC,"+35.5397100,-079.1308636",0.727272727272727,0.610151615029664,0.602040816326531,0.462234597981204
0.290726360176279,38,ND,"+47.4569538,-100.4619304",0.0962566844919786,0.424522083058668,0.102040816326531,0.540085856827938
0.558437308809981,39,OH,"+40.4149297,-082.7119975",0.561497326203209,0.727224785761371,0.362244897959184,0.582782225316162
0.587869374462426,40,OK,"+35.5894185,-097.4868683",0.705882352941176,0.848253131179961,0.341836734693878,0.455505279034691
0.608937068219196,41,OR,"+43.9715225,-120.6226269",0.513368983957219,0.534739617666447,0.586734693877551,0.800904977375566
0.415756677045442,42,PA,"+40.9042486,-077.8280624",0.358288770053476,0.528806855636124,0.25,0.525931082492169
0.477675179983937,44,RI,"+41.5978358,-071.5252895",0.347593582887701,0.449835201054713,0.341836734693878,0.771435201299455
0.596680561041953,45,SC,"+33.8741769,-080.8542699",0.802139037433155,0.727620303230059,0.36734693877551,0.489615964729087
0.394648603621714,46,SD,"+44.4467957,-100.2381762",0.262032085561497,0.669479235332894,0.158163265306122,0.488919828286344
0.54128001805647,47,TN,"+35.8585639,-086.3493573",0.748663101604278,0.728411338167436,0.346938775510204,0.341106856943961
0.619621812548327,48,TX,"+31.4347032,-099.2818238",0.679144385026738,0.626895187870798,0.73469387755102,0.43775379974475
0.192096541678936,49,UT,"+39.3349735,-111.6563633",0.197860962566845,0.238892551087673,0.331632653061224,0
0.27687602731748,50,VT,"+44.0605475,-072.6733540",0.160427807486631,0.510217534607778,0.142857142857143,0.294001624318366
0.29586424786655,51,VA,"+37.5222512,-078.6681938",0.27807486631016,0.234278180619644,0.551020408163265,0.120083536373129
0.43719461737242,53,WA,"+47.4162296,-120.5996231",0.219251336898396,0.336980883322347,0.688775510204082,0.503770739064857
0.551669343956146,54,WV,"+38.6472854,-080.6183274",0.903743315508021,0.697429136453527,0.0306122448979592,0.574892678965077
0.34964367307632,55,WI,"+44.6284840,-089.7119299",0.192513368983957,0.436255767963085,0.209183673469388,0.56062188188885
0.292833132760924,56,WY,"+42.9918024,-107.5419255",0.213903743315508,0.434805537244562,0.102040816326531,0.420582434157095
