row#,Name,FIPS,Source,ToxPi Score,Costs of Climate Disasters,Transition Risks,Social Stressors,Economic & Productivity Losses
1,AL,01,"+32.7396323,-086.8434593",0.622173770481655,0.801722879252446,0.8125,0.163265306122449,0.711206896551724
2,AK,02,"+63.3461910,-152.8370679",0.387750987253542,0.0500803036939699,0.151785714285714,1,0.349137931034483
3,AZ,04,"+34.2099643,-111.6024010",0.415269758197054,0.457877062344868,0.767857142857143,0,0.435344827586207
4,AR,05,"+34.8955256,-092.4446262",0.605940396855194,0.386771791502409,0.883928571428571,0.153061224489796,1
5,CA,06,"+37.1485730,-119.5406515",0.511816291570172,0.872828150094904,0.607142857142857,0.183673469387755,0.383620689655172
6,CO,08,"+38.9935752,-105.5077737",0.499741110364124,0.441962330267192,0.660714285714286,0.581632653061225,0.314655172413793
7,CT,09,"+41.5797842,-072.7466666",0.502711720270448,0.830340195649,0.232142857142857,0.806122448979592,0.142241379310345
8,DE,10,"+38.9935501,-075.4473739",0.501498069944821,0.88042049934297,0.169642857142857,0.63265306122449,0.323275862068966
9,DC,11,"+38.9041485,-077.0170942",0.290546319102354,0.222222222222222,0.330357142857143,0.428571428571429,0.181034482758621
10,FL,12,"+28.4574302,-082.4091478",0.582776213933849,1,0.642857142857143,0.102040816326531,0.586206896551724
11,GA,13,"+32.6293840,-083.4232125",0.496078885471448,0.687253613666229,0.375,0.275510204081633,0.646551724137931
12,HI,15,"+19.8097670,-155.5061027",0.2277445460943,0,0.625,0.204081632653061,0.081896551724138
13,ID,16,"+44.3020948,-114.5956254",0.558311764655565,0.871222076215506,0.473214285714286,0.561224489795919,0.327586206896552
14,IL,17,"+40.1028754,-089.1526108",0.510549067131648,0.308074171411885,0.633928571428571,0.673469387755102,0.426724137931035
15,IN,18,"+39.9030256,-086.2839503",0.507965637355279,0.243685209519638,0.732142857142857,0.5,0.556034482758621
16,IA,19,"+42.0700243,-093.4933473",0.727851739272899,0.257993867717915,1,0.877551020408163,0.775862068965517
17,KS,20,"+38.4985464,-098.3834298",0.594406404095011,0.322382829610162,0.857142857142857,0.387755102040816,0.810344827586207
18,KY,21,"+37.5336807,-085.2929841",0.565108959759686,0.436852095196379,0.651785714285714,0.357142857142857,0.814655172413793
19,LA,22,"+30.8577705,-091.8032730",0.70561584144359,0.937655132136078,0.883928571428571,0.0612244897959184,0.939655172413793
20,ME,23,"+45.3906022,-068.6574869",0.519893358906086,0.544167031683458,0.276785714285714,1,0.258620689655172
21,MD,24,"+38.9466584,-076.6744939",0.441906611263231,0.658636297269674,0.214285714285714,0.571428571428571,0.323275862068966
22,MA,25,"+42.1565196,-071.4895915",0.525015657383681,0.737333917360199,0.366071428571429,0.86734693877551,0.129310344827586
23,MI,26,"+44.8410835,-085.6593197",0.384315351799638,0.143524602131698,0.571428571428571,0.63265306122449,0.189655172413793
24,MN,27,"+46.3161343,-094.1994801",0.493455325682314,0.193604905825668,0.616071428571429,0.724489795918367,0.439655172413793
25,MS,28,"+32.6864655,-089.6561493",0.655912545701592,0.794568550153307,0.767857142857143,0.0612244897959184,1
26,MO,29,"+38.3507500,-092.4567826",0.530441006813407,0.243685209519638,0.732142857142857,0.357142857142857,0.788793103448276
27,MT,30,"+47.0511771,-109.6348174",0.529806979583411,0.878376405314645,0.607142857142857,0.306122448979592,0.327586206896552
28,NE,31,"+41.5438105,-099.8123253",0.698668560155949,0.300919842312746,0.875,0.76530612244898,0.853448275862069
29,NV,32,"+39.3310928,-116.6151469",0.333304712844553,0.513505621258578,0.4375,0.102040816326531,0.280172413793103
30,NH,33,"+43.6708595,-071.5811278",0.492354661025526,0.723025259161921,0,0.948979591836735,0.297413793103448
31,NJ,34,"+40.1072744,-074.6652012",0.526008621537337,0.773105562855891,0.428571428571428,0.704081632653061,0.198275862068966
32,NM,35,"+34.4391265,-106.1261511",0.55660362061208,0.477733975762885,0.982142857142857,0.551020408163265,0.21551724137931
33,NY,36,"+42.9133974,-075.5962723",0.430588611923087,0.622864651773982,0.303571428571428,0.795918367346939,0
34,NC,37,"+35.5397100,-079.1308636",0.52290896817742,0.644327639071397,0.410714285714286,0.346938775510204,0.689655172413793
35,ND,38,"+47.4569538,-100.4619304",0.61525304988097,0.472623740692072,0.660714285714286,0.806122448979592,0.521551724137931
36,OH,39,"+40.4149297,-082.7119975",0.48119407036003,0.300919842312746,0.607142857142857,0.663265306122449,0.353448275862069
37,OK,40,"+35.5894185,-097.4868683",0.514159726338615,0.499196963060301,0.660714285714286,0.112244897959184,0.78448275862069
38,OR,41,"+43.9715225,-120.6226269",0.460031189605904,0.672944955467952,0.491071428571429,0.357142857142857,0.318965517241379
39,PA,42,"+40.9042486,-077.8280624",0.564088925989083,0.558475689881735,0.669642857142857,0.76530612244898,0.262931034482759
40,RI,44,"+41.5978358,-071.5252895",0.466848446505492,0.736895897211272,0.223214285714286,0.846938775510204,0.0603448275862069
41,SC,45,"+33.8741769,-080.8542699",0.562756703002919,0.751642575558476,0.517857142857143,0.214285714285714,0.767241379310345
42,SD,46,"+44.4467957,-100.2381762",0.725277693394938,0.606511899547379,0.732142857142857,0.846938775510204,0.715517241379311
43,TN,47,"+35.8585639,-086.3493573",0.493775813507091,0.422543436998102,0.455357142857143,0.26530612244898,0.831896551724138
44,TX,48,"+31.4347032,-099.2818238",0.59652009630638,0.685209519637903,0.8125,0.0306122448979592,0.857758620689655
45,UT,49,"+39.3349735,-111.6563633",0.59965035610586,0.670900861439626,0.741071428571429,0.469387755102041,0.517241379310345
46,VT,50,"+44.0605475,-072.6733540",0.440934799010607,0.308074171411885,0.214285714285714,1,0.241379310344828
47,VA,51,"+37.5222512,-078.6681938",0.428049550566976,0.515549715286903,0.294642857142857,0.479591836734694,0.422413793103448
48,WA,53,"+47.4162296,-120.5996231",0.403088557401755,0.57993867717915,0.223214285714286,0.520408163265306,0.288793103448276
49,WV,54,"+38.6472854,-080.6183274",0.566347945808287,0.422543436998102,0.741071428571429,0.683673469387755,0.418103448275862
50,WI,55,"+44.6284840,-089.7119299",0.480278461959497,0.222222222222222,0.678571428571428,0.714285714285714,0.306034482758621
51,WY,56,"+42.9918024,-107.5419255",0.626910691757936,0.878376405314645,0.723214285714286,0.561224489795919,0.344827586206897
