ToxPi Score,FIPS,Name,Source,ClimateChange.Health!1!0x88cceeff,ClimateChange.SocialEconomic!1!0x44aa99ff,ClimateChange.ExtremeEvents!1!0x117733ff
0.805159428826019,01,AL,"+32.7396323,-086.8434593",0.982399818353259,0.813823366645071,0.619255101479727
0.206867919790675,02,AK,"+63.3461910,-152.8370679",0,0.346684164575043,0.273919594796981
0.468647018113816,04,AZ,"+34.2099643,-111.6024010",0.654022876136475,0.382808663248213,0.36910951495676
0.669068426460433,05,AR,"+34.8955256,-092.4446262",0.736132879636959,0.804979354889698,0.466093044854642
0.507593666675768,06,CA,"+37.1485730,-119.5406515",0.639305075071192,0.539768340371065,0.343707584585047
0.530133096692262,08,CO,"+38.9935752,-105.5077737",0.474170527185516,0.560153045207358,0.556075717683913
0.60198238662596,09,CT,"+41.5797842,-072.7466666",0.463807832884998,0.523665524795358,0.818473802197523
0.639179918635215,10,DE,"+38.9935501,-075.4473739",0.792585280937499,0.423626657942759,0.701327817025387
0.367287079313904,11,DC,"+38.9041485,-077.0170942",0.677100842323691,0.0899451465141596,0.334815249103863
0.625778989305507,12,FL,"+28.4574302,-082.4091478",0.709589118855626,0.740817797814826,0.426930051246071
0.704025591032667,13,GA,"+32.6293840,-083.4232125",0.926647513867909,0.675316765489413,0.510112493740678
0.139309805455079,15,HI,"+19.8097670,-155.5061027",0.417929416365236,0,0
0.549998951712216,16,ID,"+44.3020948,-114.5956254",0.331625139152126,0.669342613489975,0.649029102494546
0.511287121001914,17,IL,"+40.1028754,-089.1526108",0.562896760948474,0.614540316376623,0.356424285680644
0.555686486645587,18,IN,"+39.9030256,-086.2839503",0.546182737883122,0.717364926416146,0.403511795637492
0.66231641886786,19,IA,"+42.0700243,-093.4933473",0.434589828413209,1,0.552359428190373
0.548891434634762,20,KS,"+38.4985464,-098.3834298",0.506646189360421,0.752853276425697,0.38717483811817
0.717837212735269,21,KY,"+37.5336807,-085.2929841",1,0.781259635747821,0.372252002457987
0.754079583102533,22,LA,"+30.8577705,-091.8032730",0.875370152539112,0.907291873788403,0.479576722980083
0.620752289164105,23,ME,"+45.3906022,-068.6574869",0.218348213018647,0.643908654473669,1
0.654987007663907,24,MD,"+38.9466584,-076.6744939",0.845928243230032,0.492847732572382,0.626185047189308
0.69434262498309,25,MA,"+42.1565196,-071.4895915",0.59382401079789,0.566808773827048,0.922395090324334
0.403091494906192,26,MI,"+44.8410835,-085.6593197",0.404003166203615,0.388306873087325,0.416964445427636
0.53332513828062,27,MN,"+46.3161343,-094.1994801",0.508655025717521,0.645074939644134,0.446245449480206
0.767185340021413,28,MS,"+32.6864655,-089.6561493",0.839926962872794,0.87497712583848,0.586651931352964
0.511628883531765,29,MO,"+38.3507500,-092.4567826",0.547094125178572,0.644211482276888,0.343581043139834
0.556304015885287,30,MT,"+47.0511771,-109.6348174",0.281993951415804,0.599642480408604,0.787275615831453
0.564115323321798,31,NE,"+41.5438105,-099.8123253",0.430225260880671,0.910223814729334,0.351896894355388
0.291448718303111,32,NV,"+39.3310928,-116.6151469",0.546838684448705,0.217721890317446,0.109785580143183
0.592052827198122,33,NH,"+43.6708595,-071.5811278",0.342041444470024,0.450963121609271,0.983153915515072
0.685925220802309,34,NJ,"+40.1072744,-074.6652012",0.754338550421162,0.582666462502009,0.720770649483757
0.683174807126443,35,NM,"+34.4391265,-106.1261511",0.648494634167878,0.699078749697749,0.701951037513704
0.478202021844358,36,NY,"+42.9133974,-075.5962723",0.636003267118471,0.455445571890851,0.343157226523752
0.736440796237753,37,NC,"+35.5397100,-079.1308636",0.939359632165349,0.698535058779431,0.571427697768479
0.53801509176459,38,ND,"+47.4569538,-100.4619304",0.328931973926124,0.727712178904904,0.557401122462743
0.563717755814047,39,OH,"+40.4149297,-082.7119975",0.657330991267711,0.647869041481881,0.385953234692549
0.535187453493429,40,OK,"+35.5894185,-097.4868683",0.618964424359585,0.579850232082746,0.406747704037958
0.315963702206591,41,OR,"+43.9715225,-120.6226269",0.350240776539819,0.425863992087905,0.171786337992048
0.75178141659116,42,PA,"+40.9042486,-077.8280624",0.821528923143876,0.819513493437009,0.614301833192595
0.494296583947069,44,RI,"+41.5978358,-071.5252895",0.44991627220521,0.396796122732348,0.636177356903648
0.731483708059704,45,SC,"+33.8741769,-080.8542699",0.945890715517866,0.712722327879711,0.535838080781536
0.665546154692481,46,SD,"+44.4467957,-100.2381762",0.374495031520125,0.996838915529653,0.625304517027666
0.636672908912242,47,TN,"+35.8585639,-086.3493573",0.913815559178679,0.620410593936953,0.375792573621094
0.672190344677237,48,TX,"+31.4347032,-099.2818238",0.558465968041526,0.852592897754001,0.605512168236183
0.543882680644151,49,UT,"+39.3349735,-111.6563633",0.318395832216437,0.665422062588366,0.647830147127651
0.428016389065493,50,VT,"+44.0605475,-072.6733540",0.172242738072337,0.378431992129658,0.733374436994486
0.652307580493591,51,VA,"+37.5222512,-078.6681938",0.914339054995443,0.538575243444686,0.504008443040643
0.329247485117973,53,WA,"+47.4162296,-120.5996231",0.444700235573118,0.303649403258735,0.239392816522068
0.714412637233653,54,WV,"+38.6472854,-080.6183274",0.937458017843008,0.719927397516184,0.485852496341767
0.437326569510564,55,WI,"+44.6284840,-089.7119299",0.339102299281928,0.586428251461581,0.386449157788184
0.625633784082856,56,WY,"+42.9918024,-107.5419255",0.330574993929341,0.773059851714389,0.77326650660484
