ToxPi Score,FIPS,Name,Source,Toxic Releases!1!0x88cceeff,Pesticide use!1!0x44aa99ff,Criteria Air Pollutants!1!0x117733ff,Air pollutant!1!0x332288ff,Pollutant Sources!1!0xddcc77ff,Transportation!1!0x999933ff,Land Use!1!0xcc6677ff
0.354258888464957,48001950100,"TX, Anderson, 48001950100","+31.9714680,-095.5524440",0.188859040400176,0.592330286310357,0.558322336578839,0.324855076505362,0.467840840345378,0.0614599739779497,0.286144665136637
0.329875566343216,48001950401,"TX, Anderson, 48001950401","+31.7346372,-095.8157096",0.174577411182846,0.592330286310357,0.537676934037891,0.541803758970979,0,0,0.462740573900442
0.323838355005259,48001950402,"TX, Anderson, 48001950402","+31.7999975,-095.9123872",0.130927017088819,0.592330286310357,0.573673788909746,0.516109570302919,0,0,0.453827822424969
0.346782480603475,48001950500,"TX, Anderson, 48001950500","+31.7878081,-095.6419012",0.227529390916304,0.592330286310357,0.590704770426294,0.543936913359597,0,0.202924056700678,0.270051946511095
0.343542579083506,48001950600,"TX, Anderson, 48001950600","+31.7502049,-095.6692087",0.259779855089391,0.592330286310357,0.586321472170217,0.492417794302883,0,0.215825515305074,0.258123130406617
0.365199956139288,48001950700,"TX, Anderson, 48001950700","+31.7516003,-095.6340970",0.220086511391875,0.592330286310357,0.605995469561921,0.548430299862072,0,0.175196877353968,0.41436024849482
0.388278993856157,48001950800,"TX, Anderson, 48001950800","+31.7394653,-095.6143534",0.255260963949559,0.592330286310357,0.588450356854093,0.471086250416705,0,0.274779154968157,0.536045944494223
0.338358307400308,48001950901,"TX, Anderson, 48001950901","+31.7062457,-095.7358730",0.228510095009485,0.592330286310357,0.564198910357647,0.471044963557571,0,0.0772717934670958,0.435152103100001
0.296752128456288,48001950902,"TX, Anderson, 48001950902","+31.7878409,-095.5053418",0.211699175564157,0.592330286310357,0.528991266034526,0.40211655223246,0,0.0873587618982401,0.254768857154273
0.28690608976236,48001951000,"TX, Anderson, 48001951000","+31.6232277,-095.5131055",0.170862012718947,0.592330286310357,0.534135329214582,0.330332466483878,0,0.0266246661644868,0.354057867444268
0.290588918893195,48001951100,"TX, Anderson, 48001951100","+31.9219100,-095.8429741",0.154880764908917,0.592330286310357,0.580995363141238,0.383482416476406,0,0,0.32243360141545
0.336940969153418,48003950100,"TX, Andrews, 48003950100","+32.3588247,-102.7169259",0.298450205605519,0.55539542672047,0.600967443533898,0.345288434489537,0,0.103533520509484,0.454951753215017
0.309675002275284,48003950200,"TX, Andrews, 48003950200","+32.3283796,-102.5538031",0.109377705998204,0.55539542672047,0.604379257694359,0.294918466345401,0,0.139423406149421,0.464230753019134
0.330564246730856,48003950300,"TX, Andrews, 48003950300","+32.3148521,-102.5485167",0.0886137636885751,0.55539542672047,0.604330688722199,0.440468407081024,0,0.247031431897555,0.378110009006168
0.290847685718722,48003950400,"TX, Andrews, 48003950400","+32.1765480,-102.4688186",0.0701032256505471,0.55539542672047,0.602829161613748,0.357323553927255,0,0.0740943641717456,0.376188067947285
0.242026574837461,48005000101,"TX, Angelina, 48005000101","+31.4337680,-094.8475538",0.29643039820211,0.198797661203986,0.492488083917324,0.261642635694752,0,0.0900842292679586,0.354743015576096
0.244045852085945,48005000102,"TX, Angelina, 48005000102","+31.3158203,-094.8802824",0.321731355546516,0.198797661203986,0.507620930638626,0.249669446545736,0,0.0717249880161611,0.358776582650593
0.313738731384366,48005000200,"TX, Angelina, 48005000200","+31.3705581,-094.6762150",0.538672364282233,0.198797661203986,0.515136816935586,0.472996948747639,0,0.0997260836814353,0.370841244839681
0.295299213831506,48005000301,"TX, Angelina, 48005000301","+31.3711414,-094.7745767",0.423154685429597,0.198797661203986,0.514582359272107,0.315115999417167,0,0.163480106827364,0.451963684670324
0.301724834804551,48005000302,"TX, Angelina, 48005000302","+31.2784248,-094.7824619",0.55682243818745,0.198797661203986,0.515925987097017,0.335972744423298,0,0.107553242484421,0.397001770235683
0.357555784345557,48005000400,"TX, Angelina, 48005000400","+31.3411933,-094.7538471",0.584711084976902,0.198797661203986,0.515760050407881,0.470444044624486,0,0.257207423132233,0.475970226073413
0.337668449467455,48005000500,"TX, Angelina, 48005000500","+31.3708474,-094.7362500",0.509253255252909,0.198797661203986,0.517553010074817,0.504650207417451,0,0.208142162569335,0.42528284975369
0.35255791550539,48005000600,"TX, Angelina, 48005000600","+31.3505991,-094.6970483",0.521182805659488,0.198797661203986,0.513501610792256,0.515054495919354,0,0.292878175717318,0.426490659245326
