row#,Name,FIPS,Source,ToxPi Score,Overall Physical Health,Mental Health & Deaths of Despair,Chronic Disease,Chronic Disease Prevention,Infectious Diseases,Child Health
23830,"IL, Will, 17197880105",17197880105,"41.6978099,-88.1091587",0.291366160326354,0.13868307388053,0.482165125274753,0.168975656492795,0.473580954295671,0.300685422086315,0.184106729928058
23831,"IL, Will, 17197880106",17197880106,"41.699984,-88.0926841",0.377551200512599,0.5021046921244,0.515540005284967,0.239286048598913,0.523584305052942,0.300685422086315,0.184106729928058
23832,"IL, Will, 17197880107",17197880107,"41.7073368,-88.0739949",0.378528828699853,0.425010471959183,0.518284855229733,0.292353352532088,0.550732140463745,0.300685422086315,0.184106729928058
23833,"IL, Will, 17197880109",17197880109,"41.722398,-88.052703",0.303576214804428,0.29600280167826,0.446349512217062,0.229457240555259,0.364855582361614,0.300685422086315,0.184106729928058
23834,"IL, Will, 17197880111",17197880111,"41.700749,-88.0568455",0.329924471649522,0.314708124180269,0.517606440612703,0.190618306361469,0.471821806728321,0.300685422086315,0.184106729928058
23835,"IL, Will, 17197880112",17197880112,"41.7028091,-88.0409806",0.316873646721628,0.338302649920688,0.489924005090211,0.151011238429813,0.437211834874682,0.300685422086315,0.184106729928058
23836,"IL, Will, 17197880113",17197880113,"41.6940179,-88.0600422",0.399581370062977,0.521208292418302,0.549242395799955,0.234134872170432,0.608110507974802,0.300685422086315,0.184106729928058
23837,"IL, Will, 17197880114",17197880114,"41.6852065,-88.0789545",0.382000384962948,0.49383699451338,0.503737930309393,0.21166076571095,0.597974467229594,0.300685422086315,0.184106729928058
23838,"IL, Will, 17197880115",17197880115,"41.6946384,-88.0778222",0.372619306784456,0.453432399211685,0.49817415066283,0.262269491049452,0.537047647768396,0.300685422086315,0.184106729928058
23839,"IL, Will, 17197880116",17197880116,"41.7100615,-88.058275",0.378957933659628,0.489215598755725,0.473591368131942,0.327012978431686,0.499135504624045,0.300685422086315,0.184106729928058
